,Question Type,TemplateText,AnswerSource,RequiredFactType,RequiredFactSubtype,RequiredFactLabel,ImageSourceType
,MC,What country is {CityName} located in?,FactValue,QuickFact,General,Country,NULL
,TF,True or False: {CityName} is located in {FactValue}.,FactValue,QuickFact,General,Country,NULL
,FIB,{CityName} is located in ________.,FactValue,QuickFact,General,Country,NULL
,MC,What is the approximate population of {CityName}?,FactValue,QuickFact,General,Population,NULL
,FIB,The population of {CityName} is about ________.,FactValue,QuickFact,General,Population,NULL
,TF,True or False: The population of {CityName} is around {FactValue}.,FactValue,QuickFact,General,Population,NULL
,MC,"What is the demonym, or what people from {CityName} are called?",FactValue,QuickFact,General,Demonym,NULL
,FIB,A person from {CityName} is called a ________.,FactValue,QuickFact,General,Demonym,NULL
,TF,True or False: People from {CityName} are called {FactValue}.,FactValue,QuickFact,General,Demonym,NULL
,MC,What is the elevation of {CityName}?,FactValue,QuickFact,Geography,Elevation,NULL
,FIB,The elevation of {CityName} is ________.,FactValue,QuickFact,Geography,Elevation,NULL
,TF,True or False: {CityName} has an elevation of {FactValue}.,FactValue,QuickFact,Geography,Elevation,NULL
,MC,What was {CityName} named after?,FactValue,QuickFact,Culture,Named After,NULL
,FIB,{CityName} was named after ________.,FactValue,QuickFact,Culture,Named After,NULL
,TF,True or False: {CityName} was named after {FactValue}.,FactValue,QuickFact,Culture,Named After,NULL
,MC,What is the nickname of {CityName}?,FactValue,QuickFact,Culture,Nickname,NULL
,FIB,The nickname of {CityName} is ________.,FactValue,QuickFact,Culture,Nickname,NULL
,TF,True or False: One nickname of {CityName} is {FactValue}.,FactValue,QuickFact,Culture,Nickname,NULL
,MC,What is the motto of {CityName}?,FactValue,QuickFact,Culture,Motto,NULL
,FIB,The motto of {CityName} is ________.,FactValue,QuickFact,Culture,Motto,NULL
,TF,True or False: The motto of {CityName} is {FactValue}.,FactValue,QuickFact,Culture,Motto,NULL
,MC,When was {CityName} founded?,FactValue,QuickFact,History,Founded,NULL
,FIB,{CityName} was founded in ________.,FactValue,QuickFact,History,Founded,NULL
,TF,True or False: {CityName} was founded in {FactValue}.,FactValue,QuickFact,History,Founded,NULL
,MC,What is the official tree of {CityName}?,FactValue,QuickFact,Symbol,Official Tree,FactImage
,MC,What is the official flower of {CityName}?,FactValue,QuickFact,Symbol,Official Flower,FactImage
,MC,What is the official plant of {CityName}?,FactValue,QuickFact,Symbol,Official Plant,FactImage
,MC,What river is associated with {CityName}?,FactValue,QuickFact,Geography,River,NULL
,MC,What bay is associated with {CityName}?,FactValue,QuickFact,Geography,Bay,FactImage
,MC,What is the state/province of {CityName}?,FactValue,QuickFact,General,State,NULL
,MC,What is the capital status of {CityName}?,FactLabel,QuickFact,Status,NULL,NULL
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,Landmark,NULL,FactImage
,FIB,{FactLabel}: ________.,FactValue,FunFact,Landmark,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,Landmark,NULL,FactImage
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,Culture,NULL,FactImage
,FIB,{FactLabel}: ________.,FactValue,FunFact,Culture,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,Culture,NULL,FactImage
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,History,NULL,FactImage
,FIB,{FactLabel}: ________.,FactValue,FunFact,History,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,History,NULL,FactImage
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,Geography,NULL,FactImage
,FIB,{FactLabel}: ________.,FactValue,FunFact,Geography,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,Geography,NULL,FactImage
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,Event,NULL,FactImage
,TF,True or False: {CityName} is associated with this event: {FactLabel}.,FactValue,FunFact,Event,NULL,FactImage
,MC,What answer matches this clue: {FactLabel}?,FactValue,FunFact,Sports,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,Sports,NULL,FactImage
,MC,What animal fact matches this clue: {FactLabel}?,FactValue,FunFact,Animals,NULL,FactImage
,TF,True or False: {FactValue} can be found in {CityName}.,FactValue,FunFact,Animals,NULL,FactImage
,MC,What person-related answer matches this clue: {FactLabel}?,FactValue,FunFact,People,NULL,FactImage
,TF,True or False: {FactLabel}: {FactValue}.,FactValue,FunFact,People,NULL,FactImage
,MC,What country does this flag belong to?,CountryName,QuickFact,General,Country,Flag
,FIB,This flag belongs to the country ________.,CountryName,QuickFact,General,Country,Flag
,TF,True or False: This is the flag of the country where {CityName} is located.,CountryName,QuickFact,General,Country,Flag
,MC_IMAGE,Which flag represents the country of {CityName}?,CountryFlag,QuickFact,General,Country,FlagChoices
,TF,True or False: This flag represents the country of {CityName}.,CountryName,QuickFact,General,Country,Flag
,MC,Which city is shown in this image?,CityName,NULL,NULL,NULL,CityImage
,TF,True or False: This image shows {CityName}.,CityName,NULL,NULL,NULL,CityImage
